idEleccion,Region_o_Nivel,idAgrupacionPolitica,AgrupacionPolitica,TotalVotos	
10,1,1,ALIANZA PARA EL PROGRESO,2778	
10,1,10,JUNTOS POR EL PERÚ,43380	
10,1,11,LIBERTAD POPULAR,170	
10,1,12,PARTIDO APRISTA PERUANO,1144	
10,1,13,PARTIDO CIUDADANOS POR EL PERÚ,0	
10,1,14,PARTIDO CÍVICO OBRAS,15128	
10,1,15,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,73	
10,1,16,PARTIDO DEL BUEN GOBIERNO,5619	
10,1,17,PARTIDO DEMÓCRATA UNIDO PERÚ,682	
10,1,18,PARTIDO DEMÓCRATA VERDE,528	
10,1,19,PARTIDO DEMOCRATICO FEDERAL,210	
10,1,2,AHORA NACIÓN - AN,8882	
10,1,20,PARTIDO DEMOCRÁTICO SOMOS PERÚ,3001	
10,1,21,PARTIDO FRENTE DE LA ESPERANZA 2021,1207	
10,1,22,PARTIDO MORADO,453	
10,1,23,PARTIDO PAÍS PARA TODOS,3704	
10,1,24,PARTIDO PATRIÓTICO DEL PERÚ,1415	
10,1,25,PARTIDO POLÍTICO COOPERACIÓN POPULAR,1206	
10,1,26,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,305	
10,1,27,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,1178	
10,1,28,PARTIDO POLÍTICO PERÚ ACCIÓN,267	
10,1,29,PARTIDO POLÍTICO PERÚ PRIMERO,971	
10,1,3,ALIANZA ELECTORAL VENCEREMOS,1558	
10,1,30,PARTIDO POLÍTICO PRIN,128	
10,1,31,PARTIDO SICREO,2152	
10,1,32,PODEMOS PERÚ,2814	
10,1,33,PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO,2524	
10,1,34,PROGRESEMOS,278	
10,1,35,RENOVACIÓN POPULAR,5476	
10,1,36,SALVEMOS AL PERÚ,184	
10,1,37,UN CAMINO DIFERENTE,551	
10,1,38,UNIDAD NACIONAL,399	
10,1,4,PERÚ MODERNO,53	
10,1,5,FE EN EL PERÚ,174	
10,1,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0	
10,1,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,250	
10,1,8,FUERZA POPULAR,24053	
10,1,80,VOTOS EN BLANCO,28551	
10,1,81,VOTOS NULOS,12064	
10,1,82,VOTOS IMPUGNADOS,0	
10,1,9,FUERZA Y LIBERTAD,176	
10,10,1,ALIANZA PARA EL PROGRESO,5059	
10,10,10,JUNTOS POR EL PERÚ,36075	
10,10,11,LIBERTAD POPULAR,1068	
10,10,12,PARTIDO APRISTA PERUANO,5196	
10,10,13,PARTIDO CIUDADANOS POR EL PERÚ,0	
